algo,n,dtype,unique_ratio,adjacent_correct,wall_time_s,cpu_time_s,comparisons,swaps,cmp_rate_per_s,swap_rate_per_s,builtin_wall_s,speed_vs_builtin,correct,seed_used,adjacency_fraction_start,profile_seconds
insertion,2000,int,1.0,0.5,0.17222180007956922,0.171875,1005160,1003165,5836427.209189545,5824843.309827918,0.00021030008792877197,818.9335619198612,True,1021483686,0.5062531265632816,
selection,2000,int,1.0,0.5,0.16620400012470782,0.15625,1999000,1990,12027388.020144464,11973.23769889319,0.00021430011838674545,775.5665343346241,True,1021483686,0.5062531265632816,
insertion,2000,int,1.0,0.5,0.1816483000293374,0.171875,1026066,1024073,5648640.8066262305,5637669.05517203,0.0003136000595986843,579.2355405218791,True,1021483687,0.49974987493746875,
selection,2000,int,1.0,0.5,0.1981770999263972,0.203125,1999000,1982,10086937.394595172,10001.15553581172,0.00022140005603432655,895.1086258788987,True,1021483687,0.49974987493746875,
insertion,2000,int,1.0,0.5,0.17811649991199374,0.171875,1006032,1004037,5648168.476795099,5636967.942307919,0.0002217001747339964,803.411635221777,True,1021483688,0.496248124062031,
selection,2000,int,1.0,0.5,0.19789669988676906,0.203125,1999000,1993,10101229.586667042,10070.91073848295,0.0002255002036690712,877.5898942299352,True,1021483688,0.496248124062031,
insertion,2000,int,1.0,0.5,0.208454699954018,0.21875,1025179,1023190,4917994.174399231,4908452.532975752,0.00025049992837011814,832.1547287870775,True,1021483689,0.5032516258129065,
selection,2000,int,1.0,0.5,0.21165230008773506,0.203125,1999000,1991,9444735.536402702,9406.937695336557,0.00022529996931552887,939.4244514579561,True,1021483689,0.5032516258129065,
insertion,2000,int,1.0,0.5,0.22259159991517663,0.234375,1019643,1017649,4580779.330345606,4571821.220512352,0.0003706000279635191,600.6248869929605,True,1021483690,0.5007503751875938,
selection,2000,int,1.0,0.5,0.2000579999294132,0.203125,1999000,1993,9992102.293861333,9962.110991328482,0.0003223998937755823,620.5274995179451,True,1021483690,0.5007503751875938,
